STOPID,SHORTNAME,LONGNAME,LONGITUDE,LATITUDE
511213,C18K1272,Cl 18 entre Cl 127 y 125,-76.53150167,3.33764833
511215,K125C23A,K 125 con CL 23A,-76.52632750,3.33857972
511221,K168C36,Kr 168 con Cl 36,-76.52312778,3.29753639
511222,C25K98B,Cl 25 entre Kr 98B y 98,-76.52471278,3.37007139
511223,C42K99,Cl 42 entre Kr 99 y 98A,-76.52059639,3.36910722
511224,C45K103,Cl 45 entre Kr 103 y 102,-76.51891056,3.36556361
511225,C45K100,Cl 45 entre Kr 100 y 99,-76.51889833,3.36715250
511226,K99C30,Kr 99 con Cl 30,-76.52227389,3.36797083
511227,K94C45,Kr 94 entre Cl 45 y 48,-76.51705306,3.37529583
511228,C48K92,Cl 48 entre Kr 92 y 90,-76.51624333,3.37670889
511230,C48K90,Cl 48 entre Kr 90 y 92,-76.51663833,3.37698083
511232,C25K1251,Cl 25 entre Kr 125 y 127,-76.52466528,3.33829056
511234,C13K100U,Cl 13 con Kr 100,-76.53722639,3.37533139
511235,K80C5,Kr 80 entre Cl 5 y 6A,-76.54130028,3.38628472
511237,C16K93,Cl 16 entre Kr 93 y 92,-76.52905417,3.37597472
511238,K85CC16,Kr 85C entre Cl 16 y 15,-76.52982583,3.38062056
511239,K86C14A,Kr 86 entre Cl 14A y 14,-76.53224361,3.38007528
511242,K86C17,Kr 86 entre Cl 17 y 18,-76.52732722,3.37931500
511243,K80C13A1,Kr 80 entre Cl 13A1 y 13B,-76.53611667,3.38699806
511248,AUT-JAM1,Autopista Cali - Jamundi - Sede Club Ame,-76.52286722,3.31779028
511249,C18K114A,Cl 18 entre Kr 114B y 114A,-76.53015917,3.35314278
511250,C18K111,Cl 18 entre Kr 111 y 109,-76.53042583,3.35799611
511251,C25K1051,Cl 25 entre Kr 104 y 105,-76.52408417,3.35915583
511252,C25K1052,Cl 25 entre Kr 105 y 104,-76.52390889,3.35915611
511254,K127C36,Kr 127 entre Cl 36 y 25,-76.52475333,3.33503833
511255,K127C21A,Kr 127 entre Cl 21A y 21,-76.52858167,3.33518167
511256,C25K122,Cl 25 entre Kr 121 y 122,-76.52439389,3.34407444
