PRODUCTO,INTEGRACION,VEH_ID,QPAX,CRD_SNR,O_ESTACION,D_ESTACION,O_ID_ESTACION,D_ID_ESTACION,TRONCAL,HORA_MATSIM,1_USO,START,END
UNIVIAJE-II,,4203,1,39132,T. CALI,0,26,0,YES,43380,0,YES,0
UNIVIAJE-II,,4201,1,39132,T. CALI,0,26,0,YES,57840,0,0,0
UNIVIAJE-II,,4203,1,39132,T. CALI,0,26,0,YES,67440,0,0,YES
UNIVIAJE-II,,4403,1,39136,VERSALLES,0,43,0,YES,37560,0,YES,0
UNIVIAJE-II,,4403,1,39136,VERSALLES,0,43,0,YES,61140,0,0,0
UNIVIAJE-II,,4403,1,39136,VERSALLES,0,43,0,YES,74100,0,0,YES
UNIVIAJE-II,,2006,1,39137,SAN PEDRO,0,25,0,YES,59760,0,YES,0
UNIVIAJE-II,,2006,1,39137,SAN PEDRO,0,25,0,YES,68460,0,0,YES
UNIVIAJE-II,,3002,1,39142,CENTRO,0,28,0,YES,48240,0,YES,0
UNIVIAJE-II,,3002,1,39142,CENTRO,0,28,0,YES,59880,0,0,0
UNIVIAJE-II,,3002,1,39142,CENTRO,0,28,0,YES,70380,0,0,YES
UNIVIAJE-II,,6104,1,39149,TERMINAL MENGA,0,56,0,YES,26820,0,YES,0
UNIVIAJE-II,,6104,1,39149,TERMINAL MENGA,0,56,0,YES,27840,0,0,0
UNIVIAJE-II,,6103,1,39149,TERMINAL MENGA,0,56,0,YES,56760,0,0,0
UNIVIAJE-II,,6103,1,39149,TERMINAL MENGA,0,56,0,YES,57780,0,0,0
UNIVIAJE-II,,6104,1,39149,TERMINAL MENGA,0,56,0,YES,64680,0,0,0
UNIVIAJE-II,,6104,1,39149,TERMINAL MENGA,0,56,0,YES,70020,0,0,0
UNIVIAJE-II,,6103,1,39149,TERMINAL MENGA,0,56,0,YES,77580,0,0,YES
UNIVIAJE-II,,1906,1,39150,PETECUY,0,24,0,YES,53100,0,YES,0
UNIVIAJE-II,,1906,1,39150,PETECUY,0,24,0,YES,61800,0,0,YES
UNIVIAJE-II,,504,1,39155,CAPRI,0,4,0,YES,26520,0,YES,0
UNIVIAJE-II,,504,1,39155,CAPRI,0,4,0,YES,59700,0,0,0
UNIVIAJE-II,,504,1,39155,CAPRI,0,4,0,YES,62160,0,0,0
UNIVIAJE-II,,504,1,39155,CAPRI,0,4,0,YES,65460,0,0,0
UNIVIAJE-II,,504,1,39155,CAPRI,0,4,0,YES,69780,0,0,0
UNIVIAJE-II,,503,1,39155,CAPRI,0,4,0,YES,76920,0,0,YES
UNIVIAJE-II,,4403,1,39158,VERSALLES,0,43,0,YES,42000,0,YES,0
UNIVIAJE-II,,4403,1,39158,VERSALLES,0,43,0,YES,55980,0,0,0
UNIVIAJE-II,,4401,1,39158,VERSALLES,0,43,0,YES,80040,0,0,YES
UNIVIAJE-II,,1601,1,39171,SAN BOSCO,0,14,0,YES,45360,0,YES,0
UNIVIAJE-II,,1601,1,39171,SAN BOSCO,0,14,0,YES,49680,0,0,0
UNIVIAJE-II,,1601,1,39171,SAN BOSCO,0,14,0,YES,63300,0,0,0
UNIVIAJE-II,,1601,1,39171,SAN BOSCO,0,14,0,YES,71280,0,0,YES
UNIVIAJE-II,,1002,1,39172,UND DEPORT,0,40,0,YES,23580,0,YES,0
UNIVIAJE-II,,1003,1,39172,UND DEPORT,0,40,0,YES,36300,0,0,YES
UNIVIAJE-II,,3204,1,39175,ERMITA,0,29,0,YES,41040,0,YES,0
UNIVIAJE-II,,3203,1,39175,ERMITA,0,29,0,YES,46140,0,0,0
